gene_id	gene_description	module	subheader	topic_ecosystem	note	reference	count	pathway
ExtABCD		"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
FmnA	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrA	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrB_TIGR03509	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrC_TIGR03507	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcF	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcS	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcZ	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
HgcA	hgcA;Cobalamin-dependent mercury methyltransferase HgcA	Environmental Adaptation	Mercury Methylation	bgc
"K00448, EC:1.13.11.3"	"pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	"3,4-dihydroxybenzoate => 3-Carboxy-cis,cis-muconate"
K01031	"pcaI; 3-oxoadipate CoA-transferase, alpha subunit [EC:2.8.3.6]"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	Succinyl-CoA + 3-Oxoadipate => Succinate + 3-Oxoadipyl-CoA
K01607	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	4-Carboxymuconolactone => 3-Oxoadipate enol-lactone
K01857	"pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	"3-Carboxy-cis,cis-muconate => 4-Carboxymuconolactone"
K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	3-Oxoadipate enol-lactone => 3-Oxoadipate
EC:4.1.1.44	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	4-Carboxymuconolactone => 3-Oxoadipate enol-lactone
EC:5.5.1.2	"pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]"	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	"3-Carboxy-cis,cis-muconate => 4-Carboxymuconolactone"
EC:3.1.1.24	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]	Carbon Transformations	Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic))	bgc	3-Oxoadipate enol-lactone => 3-Oxoadipate
K00449	"pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"	"Carbon Transformations , Environmental Adaptation"	"Aromatic Monomers (protocatechuic acid degradation- ortho-cleavage (oxic)) , Osmoregulation"	bgc	"3,4-dihydroxybenzoate => 3-Carboxy-cis,cis-muconate"
K15064	desA; syringate O-demethylase [EC:2.1.1.-]	Carbon Transformations	Aromatic Monomers (syringic acid coversion to 3-o-methylgallate (oxic))	bgc	Syringic acid => 3-O-Methylgallate
K03862	vanA; vanillate monooxygenase subunit A	Carbon Transformations	Aromatic Monomers (vanillate conversion to protocatechuate route 1 (oxic))	bgc	"vanillate => protocatechuate, formaldehyde"
K03863	vanB; vanillate monooxygenase subunit B	Carbon Transformations	Aromatic Monomers (vanillate conversion to protocatechuate route 1 (oxic))	bgc	"vanillate => protocatechuate, formaldehyde"
